file_source,title,url,status_code,is_valid,content_length,is_xuhui_gov,verification_time,original_category,original_department,error
data/enhanced_talent_policies.json,上海市徐汇区新型工业化推进办公室2025年度绩效目标,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e444057c1752,200,True,39640,True,2025-06-04T12:31:57.941820,产业发展,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,上海市徐汇区新型工业化推进办公室2025年度部门预算,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e441e4cc174c,200,True,39459,True,2025-06-04T12:31:58.620635,产业发展,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,上海市徐汇区新型工业化推进办公室2025年度单位预算,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e4406a2b1749,200,True,39459,True,2025-06-04T12:31:59.327683,产业发展,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,上海市徐汇区新型工业化促进中心2025年度单位预算,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194e43b55061743,200,True,39438,True,2025-06-04T12:32:00.004448,产业发展,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,2024年上海市徐汇区新型工业化推进办公室 政府信息公开工作年度报告,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab019463b3e4e6128d,200,True,181557,True,2025-06-04T12:32:00.707621,产业发展,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,徐汇区关于推动人工智能产业高质量发展的若干意见（征求意见稿）,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194a6f4d71614b0,200,True,67228,True,2025-06-04T12:32:01.391033,AI/人工智能,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,徐汇区关于推动具身智能产业发展的若干意见（征求意见稿）,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab0194a6f27fb814ac,200,True,57032,True,2025-06-04T12:32:02.087931,AI/人工智能,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,关于支持上海市生成式人工智能创新生态先导区的若干措施,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab019384dc95a70aed,200,True,64111,True,2025-06-04T12:32:02.768053,AI/人工智能,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,本区域包含繁简体切换、无障碍工具条打开按钮、关怀版打开按钮，请使用tab按钮切换浏览,https://www.xuhui.gov.cn/kewei/,200,True,58390,True,2025-06-04T12:32:03.433348,人才引进,徐汇区第一批高新技术企业奖励申报的通知根据《徐汇区关于加快培育科技领军企业的实施意见》（徐科委,
data/enhanced_talent_policies.json,徐汇区新型工业化发展专项资金管理办法,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab019361d266e109fc,200,True,62464,True,2025-06-04T12:32:04.119432,资金补贴,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,徐汇区关于推动具身智能产业发展的若干意见,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab01934dd6cfbd09bb,200,True,60995,True,2025-06-04T12:32:04.795528,AI/人工智能,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,徐汇区关于推动人工智能产业高质量发展的若干意见,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab01934dd52e3d09b9,200,True,62795,True,2025-06-04T12:32:05.484409,AI/人工智能,徐汇区新型工业化推进办,
data/enhanced_talent_policies.json,徐汇区关于支持低空经济产业发展的扶持意见（试行）,https://www.xuhui.gov.cn/xxgk/portal/article/detail?id=8a4c0c0692292eab01934dd3b1c409b7,200,True,54987,True,2025-06-04T12:32:06.174551,产业发展,徐汇区新型工业化推进办,
